,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s278,2.5105638454378596,2.1,1.6363636363999998,3.25,1.8571428571000002,1.75,1,37,False
s282,1.720334237579592,1.3,1.3636363636000002,1.1666666667,1.2857142857,2.0833333333,0,50,True
s283,2.798140450891099,2.2,1.9090909091,3.0833333332999997,3.0,2.5833333333,0,28,False
s284,2.0452702222288344,2.1,1.3636363636000002,1.9166666666999999,1.6428571428999998,1.9166666666999999,0,35,False
s288,1.8911392558346722,2.4,1.0,1.75,1.1428571429,1.25,0,28,False
s292,2.1940278967799873,1.7000000000000002,1.8181818182,2.25,1.2857142857,1.8333333333,1,37,False
s293,2.3991746019355435,2.6,1.7272727273,1.9166666666999999,1.5714285713999998,1.5,1,26,False
s294,2.3851974806685154,2.2,1.5454545455000002,3.0833333332999997,2.1428571429,1.4166666666999999,1,23,False
s295,1.803559650019086,1.1,1.6363636363999998,2.5,1.4285714286000002,2.1666666667,0,26,True
s296,2.217093932204036,1.8,2.0,1.6666666666999999,1.2857142857,3.0,1,32,False
s297,2.2987339947644707,1.8,1.2727272726999999,2.6666666667000003,1.7857142857,1.8333333333,1,40,False
s298,2.323498603917131,1.9,2.1818181818,2.0833333333,1.4285714286000002,2.25,1,35,False
s299,2.4060904853072165,2.1,2.0909090909,1.75,2.0714285714,2.4166666667,1,36,False
s301,1.892718543942448,1.1,1.0,2.3333333333,1.2142857143,2.5,0,27,False
s302,1.9719408290298892,1.3,1.4545454544999998,1.8333333333,2.8571428571,1.25,0,31,False
s304,2.467297668520226,3.1,1.6363636363999998,2.9166666667000003,1.2142857143,2.3333333333,1,44,False
s305,2.000788314765983,1.8,1.2727272726999999,2.5,1.1428571429,1.5833333333,0,28,False
s307,2.0998812948757433,1.2,1.4545454544999998,1.6666666666999999,1.3571428571000002,3.5833333332999997,0,28,False
s313,1.6408732863351823,1.1,1.0909090909,1.0,1.0,2.25,1,23,False
s314,2.2830263842535596,1.8,1.9090909091,1.9166666666999999,1.9285714286,2.0,0,27,False
s316,1.9858658277411128,1.8,2.0,1.3333333333,1.0,2.1666666667,1,31,False
s317,2.1117931578311375,1.9,2.7272727273000004,1.4166666666999999,1.0714285714,1.6666666666999999,1,28,False
s323,2.055823145781997,1.4,1.3636363636000002,1.5833333333,1.1428571429,2.3333333333,0,34,True
s324,2.1163661329445516,1.2,1.4545454544999998,1.6666666666999999,1.0,2.6666666667000003,0,28,False
s325,1.9826311110086234,1.5,1.3636363636000002,1.75,1.2142857143,2.3333333333,1,42,False
s328,1.9493327322864689,1.4,1.8181818182,1.3333333333,1.2142857143,3.1666666667000003,0,25,False
s330,2.0388210248870755,1.4,1.5454545455000002,1.6666666666999999,1.3571428571000002,1.8333333333,0,24,False
s334,2.0172469072153296,1.8,1.9090909091,1.5833333333,1.0714285714,2.8333333332999997,1,33,True
s335,3.2672201470337257,2.9,3.1818181818,3.5833333332999997,2.9285714286,3.5833333332999997,0,33,False
s336,2.665531549915723,2.3,2.0,2.25,2.0714285714,2.25,0,26,False
s338,2.868101525548656,2.7,2.1818181818,3.0,2.2857142857,2.5833333333,1,40,False
s340,2.208135115099867,1.2,1.0909090909,2.0,2.0714285714,2.6666666667000003,0,29,False
s342,2.041035547988756,1.1,1.2727272726999999,2.0,1.7857142857,3.1666666667000003,0,27,False
s343,2.2973848958122676,2.7,1.3636363636000002,2.4166666667,1.2857142857,1.6666666666999999,1,20,False
s346,1.828885623897966,1.4,1.4545454544999998,1.25,1.0,2.6666666667000003,0,42,False
s349,2.0045575711334402,1.5,1.6363636363999998,2.0,1.9285714286,2.0833333333,0,33,False
s350,2.185192427052224,2.0,1.3636363636000002,2.6666666667000003,2.5,1.8333333333,1,35,False
s354,1.9981015930979658,1.0,1.3636363636000002,2.0833333333,2.0714285714,2.1666666667,1,35,True
s355,2.4984920903633347,2.6,1.7272727273,2.5833333333,2.0,2.1666666667,0,32,False
s357,1.6740877887791166,1.1,1.3636363636000002,1.1666666667,1.0,2.0833333333,1,49,False
s358,1.6260220272605759,1.1,1.0909090909,1.4166666666999999,1.0714285714,1.5833333333,0,24,False
s360,1.385731377362843,1.1,1.0,1.0833333333,1.0,1.1666666667,1,43,False
s362,1.410456858940053,1.2,1.0,1.0,1.0,1.0,1,28,False
s363,1.6663951580295098,1.0,1.0909090909,1.75,1.0714285714,1.8333333333,1,49,False
s364,2.582744758062409,2.5,1.8181818182,2.5833333333,1.7857142857,2.1666666667,0,26,True
s365,2.7922502573707026,2.3,1.9090909091,3.0,2.0,3.4166666667000003,0,43,True
s368,1.7982134485517693,1.8,1.0,1.5,1.0714285714,1.25,0,50,False
s369,2.37393547516467,1.4,2.0,2.9166666667000003,1.9285714286,3.0,1,33,False
s375,2.57274566894393,2.1,2.0,2.0833333333,2.1428571429,2.8333333332999997,0,48,True
s376,2.285057976696176,2.0,2.0,2.0,2.0,2.4166666667,0,39,False
s377,1.9946440517521111,1.6,2.0909090909,1.4166666666999999,1.2857142857,2.6666666667000003,0,34,True
s383,2.2207328511393527,2.2,1.8181818182,2.25,1.2142857143,1.8333333333,1,50,False
s384,2.5220943813865806,2.6,2.0,1.25,1.2142857143,3.8333333332999997,0,25,False
s386,2.5921895714072165,2.9,3.1818181818,1.9166666666999999,1.7857142857,1.75,1,44,False
s387,2.023821640388997,1.9,1.9090909091,2.0833333333,1.1428571429,1.75,1,48,False
s388,2.357942731402913,1.7000000000000002,1.9090909091,1.9166666666999999,2.0,3.6666666667,1,35,True
s389,1.9060197131076666,1.9,1.2727272726999999,1.5,1.0714285714,1.8333333333,1,50,False
s390,2.6082305032099566,2.3,2.1818181818,2.75,1.7857142857,2.8333333332999997,1,27,False
s394,1.9995551661112185,1.9,1.4545454544999998,1.5,1.0714285714,2.25,1,26,False
s396,2.0588768980783207,1.2,1.2727272726999999,2.0,1.2857142857,2.25,0,35,False
s397,2.40435012959661,2.4,1.8181818182,2.0,1.8571428571000002,2.0833333333,0,40,False
s398,2.5128370590217077,1.7000000000000002,1.9090909091,2.3333333333,2.2142857143,2.8333333332999997,1,27,False
s399,1.732701183040658,1.1,1.2727272726999999,2.0833333333,1.0,1.5,1,43,True
s400,2.3008559297800923,1.7000000000000002,2.0,2.5833333333,1.4285714286000002,2.5,1,32,False
s403,2.9196320615077793,2.8,1.5454545455000002,3.6666666667,2.2857142857,1.1666666667,1,22,False
s405,1.8536345936042187,1.4,1.4545454544999998,1.6666666666999999,1.1428571429,1.8333333333,1,39,False
s406,2.5305538002559453,2.0,2.6363636364,2.0,2.0,3.0833333332999997,0,25,False
s407,2.6629491826448346,2.4,2.3636363636,2.25,2.2142857143,1.75,1,29,False
s409,2.205064219756894,2.0,2.0,2.0833333333,2.0,2.0,1,41,False
s410,2.186822131820188,1.6,1.2727272726999999,3.0833333332999997,1.5714285713999998,1.25,1,26,False
s411,1.7188854758332006,1.7000000000000002,1.4545454544999998,1.4166666666999999,1.0,1.6666666666999999,0,32,False
s414,2.310135930601364,1.6,2.0909090909,2.3333333333,1.7857142857,1.5833333333,1,45,False
s415,1.8793368162966055,1.1,1.7272727273,1.4166666666999999,1.0,3.1666666667000003,1,38,True
s418,2.2583744574788067,2.1,1.0,2.4166666667,1.7857142857,1.75,1,21,True
s419,2.150284387229939,1.5,1.2727272726999999,2.3333333333,1.7142857143,2.9166666667000003,1,25,False
s420,3.052441727751298,2.6,2.0,2.5,2.2857142857,2.75,1,34,True
s421,1.556775257107325,1.2,1.0909090909,1.3333333333,1.0,1.3333333333,1,33,False
s422,2.045058008198035,1.4,1.8181818182,1.5833333333,1.1428571429,2.1666666667,0,36,False
s423,2.384417314839353,1.6,2.5454545455,2.6666666667000003,1.3571428571000002,1.75,1,31,True
s425,2.405465562410978,2.1,1.1818181818,2.75,2.1428571429,1.8333333333,1,34,True
s426,2.51813994158069,1.8,1.6363636363999998,2.8333333332999997,2.2857142857,2.5,0,37,True
s427,2.317420294373279,1.7000000000000002,1.9090909091,2.0833333333,1.9285714286,2.25,0,34,False
s428,2.0845629245264408,1.9,2.0909090909,2.0,2.0,2.0,1,50,False
s429,1.90813883195886,1.0,1.0,1.4166666666999999,1.5,3.8333333332999997,0,24,False
s430,1.9484325353854943,1.3,1.4545454544999998,1.8333333333,1.2142857143,1.6666666666999999,1,32,False
s431,2.192343949804212,1.7000000000000002,1.9090909091,2.0,1.7857142857,2.4166666667,1,34,False
s432,1.5621765540300017,1.1,1.0,1.25,1.1428571429,1.3333333333,1,37,False
s433,2.649555724884631,2.5,1.7272727273,2.8333333332999997,2.2142857143,2.9166666667000003,1,28,True
s434,1.7904885036202576,1.1,1.3636363636000002,1.4166666666999999,1.0714285714,2.0833333333,1,34,False
s435,1.8306940376332004,1.2,1.0909090909,2.0,1.0714285714,2.8333333332999997,1,47,False
s438,2.200357825607721,2.5,1.3636363636000002,1.9166666666999999,1.5,2.0,0,38,False
s439,2.328855257253068,2.6,1.6363636363999998,1.6666666666999999,2.0,2.4166666667,0,32,False
s441,3.139402362234784,2.4,2.0,3.4166666667000003,3.1428571429,2.5833333333,0,40,True
s443,1.926399968040621,1.1,1.4545454544999998,1.9166666666999999,1.7857142857,3.4166666667000003,0,31,True
s444,2.1270280139854942,1.9,1.8181818182,1.5833333333,1.1428571429,1.75,1,31,True
s445,2.375824389810428,2.2,1.5454545455000002,2.1666666667,2.0,2.0833333333,0,28,False
s446,1.8362605865962136,2.2,1.0909090909,1.5833333333,1.0714285714,2.3333333333,0,25,True
s448,2.6038120943896628,2.2,1.6363636363999998,2.75,2.4285714286,3.3333333332999997,0,34,True
s449,2.0500121165889964,1.8,1.2727272726999999,2.25,1.4285714286000002,2.0,1,37,False
s450,2.289600678497609,1.7000000000000002,1.4545454544999998,2.4166666667,1.7857142857,2.9166666667000003,1,35,False
s451,1.6621503112565845,1.3,1.6363636363999998,1.5,1.0,1.0833333333,1,36,False
s454,1.9846000209283718,1.5,1.3636363636000002,1.3333333333,1.0,1.25,1,34,False
s456,2.340302248279436,1.1,1.5454545455000002,1.5,1.7142857143,3.5,0,27,False
s457,2.103527210959767,1.5,2.2727272727,1.3333333333,1.0,2.3333333333,1,47,False
s458,3.139267918368244,3.5,2.6363636364,3.25,1.4285714286000002,2.1666666667,1,27,False
s459,2.958308748326208,2.8,2.2727272727,3.3333333332999997,2.2142857143,1.9166666666999999,1,30,False
s460,1.722829679777645,1.7000000000000002,1.0,1.3333333333,1.2142857143,1.25,1,30,False
s461,2.761238667081454,2.0,2.4545454545,2.5,2.0714285714,3.3333333332999997,1,36,False
s463,2.9368568274341076,3.3,2.2727272727,3.4166666667000003,3.0714285714,2.3333333333,0,26,False
s465,2.1658460410854987,1.4,1.1818181818,1.75,1.5,3.5833333332999997,1,46,False
s466,2.2185838189184364,1.6,1.3636363636000002,2.0,2.0714285714,2.3333333333,0,30,True
s467,2.209732669031025,1.9,2.0,2.0,2.0,1.9166666666999999,1,50,False
s469,2.192840334707779,1.4,2.0909090909,1.9166666666999999,1.2142857143,2.75,1,43,False
s470,2.76402231863863,2.9,2.0909090909,2.6666666667000003,2.0714285714,2.75,0,31,False
s473,2.074983761918828,1.7000000000000002,1.4545454544999998,1.8333333333,1.5714285713999998,2.3333333333,0,23,False
s474,2.297483883692478,2.0,1.9090909091,2.0833333333,2.0,2.0,0,28,False
s476,1.9961958831410496,2.0,1.2727272726999999,1.6666666666999999,1.0714285714,1.1666666667,0,44,True
s477,2.9771184376952555,2.3,1.9090909091,3.5,2.4285714286,2.25,0,32,True
s479,1.5464745702921932,1.0,1.3636363636000002,1.0,1.3571428571000002,2.4166666667,1,49,False
s480,1.9065793712791168,1.5,1.2727272726999999,1.4166666666999999,1.0,1.4166666666999999,1,30,False
s481,2.538346608812475,3.1,1.6363636363999998,2.9166666667000003,1.5714285713999998,2.0833333333,1,29,False
s482,2.175043380892566,1.3,1.2727272726999999,2.3333333333,1.0714285714,3.0,1,41,False
s483,1.7700478300520122,2.1,1.1818181818,1.1666666667,1.0,1.0833333333,1,28,False
s486,2.540999520090466,1.7000000000000002,2.5454545455,1.5,1.0714285714,3.9166666667,0,50,True
s489,2.2547677339849943,1.7000000000000002,1.0909090909,2.1666666667,1.1428571429,2.0,1,34,False
s492,2.063569262678807,1.3,1.5454545455000002,2.0833333333,1.2142857143,2.5833333333,0,30,True
s493,2.056274131518832,1.7000000000000002,1.8181818182,1.8333333333,1.0714285714,2.0,1,35,False
s494,1.511040506031299,1.0,1.1818181818,1.0833333333,1.0,2.0,0,46,False
s495,2.332581695181511,2.1,2.0909090909,2.0,1.8571428571000002,1.9166666666999999,1,40,False
s496,3.156965531425784,1.8,2.7272727273000004,3.1666666667000003,3.5,3.0,1,34,False
s497,2.4422770175299435,2.7,2.0,2.1666666667,2.0,2.8333333332999997,0,41,False
s499,2.2964959383522245,1.8,2.3636363636,2.1666666667,2.0714285714,2.8333333332999997,0,31,True
s501,2.323418636025955,1.5,1.0909090909,2.9166666667000003,2.6428571429,1.9166666666999999,1,34,True
s504,2.1845176137294384,1.4,2.0,2.0833333333,2.0,2.0,0,41,False
s505,2.829162938470907,3.0,1.4545454544999998,3.0,3.0714285714,1.5833333333,0,25,False
s507,2.349607608919914,2.4,1.5454545455000002,2.5,1.4285714286000002,1.9166666666999999,1,33,False
s508,2.394405629704627,1.0,1.4545454544999998,3.1666666667000003,2.9285714286,3.6666666667,1,29,False
s509,2.1477695547220894,1.8,1.6363636363999998,1.8333333333,1.2857142857,1.6666666666999999,1,34,False
s512,2.1601632890912033,1.5,2.0909090909,1.9166666666999999,1.5714285713999998,2.3333333333,1,48,False
s514,1.8869086443597674,1.8,1.1818181818,1.6666666666999999,1.1428571429,2.0833333333,0,45,True
s515,1.8184635688073252,1.7000000000000002,1.2727272726999999,1.75,1.2142857143,2.0,0,20,False
s516,2.467623902015723,1.5,1.3636363636000002,2.6666666667000003,2.2857142857,2.9166666667000003,1,28,True
s520,1.9964005733510564,1.7000000000000002,1.3636363636000002,2.0,1.5,2.8333333332999997,1,28,False
s521,1.7370628174837972,1.1,1.5454545455000002,1.0833333333,1.2142857143,2.9166666667000003,0,45,False
s522,2.0111642602676953,2.1,1.2727272726999999,1.75,1.5714285713999998,2.1666666667,1,26,False
s523,2.0041927811510565,1.2,1.1818181818,1.8333333333,1.1428571429,2.6666666667000003,1,43,True
s526,3.2416138366788068,2.3,2.8181818182,2.6666666667000003,2.8571428571,2.5833333333,0,30,True
s527,2.536425915346759,2.1,2.0,2.4166666667,2.0714285714,2.25,1,39,False
s529,2.099208788411654,1.6,1.7272727273,1.5,1.0714285714,2.3333333333,1,43,True
s533,2.0892587754480334,1.2,1.2727272726999999,1.25,1.0714285714,2.8333333332999997,0,28,False
s535,2.556880037294908,2.3,1.8181818182,2.3333333333,2.0714285714,2.5,0,31,False
s539,2.3288723419980353,2.6,1.0,2.3333333333,1.5714285713999998,1.8333333333,0,29,False
s543,2.6551765843849946,2.1,2.0,2.75,1.8571428571000002,2.0,1,43,False
s545,2.3172129675517694,2.1,2.0909090909,2.75,2.0,1.3333333333,0,35,True
s546,2.2804596435980358,2.0,2.0,1.4166666666999999,1.2857142857,2.6666666667000003,1,34,False
s548,1.9899053383233785,1.0,1.2727272726999999,2.0833333333,1.0714285714,2.5833333333,1,28,False
s549,2.2872847791411126,1.3,1.4545454544999998,2.1666666667,2.2142857143,3.25,0,28,True
s550,2.5601443385308453,2.2,1.6363636363999998,2.75,1.9285714286,2.75,1,34,True
s559,2.387309664273278,2.2,1.6363636363999998,2.25,2.5,2.4166666667,1,39,True
s560,3.51843478089568,2.9,2.8181818182,3.4166666667000003,3.0714285714,3.4166666667000003,0,23,True
